"matricula","carrera","periodo","numRepPrev","año","semestre","cantidad_asig","tasa_rep_carga","ceneval_global","ceneval_analitico","ceneval_matematico","ceneval_lengua","ceneval_esp","prom_per_prev","generacion","tasa_aprob_per_prev","tasa_aprob_gral_prev","asigMuchas","cuartil_repEst","asigRep_totalAsig","carrera_IA","carrera_IDeIO","carrera_ILyCS","carrera_II","carrera_IE","carrera_NI","carrera_TS","semestre_Otoño","complejidad_carga4","complejidad_carga5","año_encurso","carga_aprobada","recursando","total_recursando","depto","practicante","situacion","situacion_Condicionado","situacion_Irregular","situacion_Regular","depto_EyN","depto_TSGyH"
116466046,"Innovación Empresarial",201601,0,2016,"Primavera",5,6.64224363684766,1156,1150,1180,1210,1120,8.44444444444444,2011,0,0,0,1,0,0,0,0,0,1,0,0,0,3,2,6,0,0,0,"EyN",1,"Regular",0,0,1,1,0
116466047,"Innovación Empresarial",201601,0,2016,"Primavera",3,6.21853877080778,1174,1210,1180,1270,1180,8.44444444444444,2011,0,0,0,1,0,0,0,0,0,1,0,0,0,3,3,6,1,0,0,"EyN",0,"Regular",0,0,1,1,0
116466062,"Ingeniería Industrial",201601,0,2016,"Primavera",5,12.3935776672185,1210,1240,1210,1150,1240,8.44444444444444,2011,0,0,0,1,0,0,0,0,1,0,0,0,0,4,1,6,0,0,0,"CBeI",0,"Regular",0,0,1,0,0
116466062,"Ingeniería Industrial",201603,2,2016,"Otoño",4,8.50833724034763,1210,1240,1210,1150,1240,5.6,2011,0,0,0,4,0.4,0,0,0,1,0,0,0,1,2,3,6,1,1,1,"CBeI",0,"Irregular",0,1,0,0,0
116466062,"Ingeniería Industrial",201801,0,2018,"Primavera",4,13.7584163659067,1210,1240,1210,1150,1240,7.75,2011,1,0.5,0,1,0,0,0,0,1,0,0,0,0,4,1,8,1,1,1,"CBeI",0,"Irregular",0,1,0,0,0
116466062,"Ingeniería Industrial",201803,0,2018,"Otoño",7,3.71955396800117,1210,1240,1210,1150,1240,8.75,2011,1,0.6,1,1,0,0,0,0,1,0,0,0,1,4,2,8,1,0,0,"CBeI",1,"Regular",0,0,1,0,0
116466063,"Negocios Internacionales",201601,0,2016,"Primavera",4,11.8694382404813,1006,1030,910,1060,1000,8.44444444444444,2011,0,0,0,1,0,0,0,0,0,0,1,0,0,4,1,6,1,0,0,"EyN",0,"Regular",0,0,1,1,0
116466063,"Negocios Internacionales",201603,0,2016,"Otoño",6,6.73976496218023,1006,1030,910,1060,1000,8.75,2011,1,1,0,1,0,0,0,0,0,0,1,0,1,4,2,6,0,0,0,"EyN",0,"Regular",0,0,1,1,0
116466064,"Gastronomía",201601,0,2016,"Primavera",1,18.0790960451977,1132,1180,1060,1180,1120,8.44444444444444,2011,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,6,0,0,0,"TSGyH",0,"Regular",0,0,1,0,1
116466068,"Negocios Internacionales",201601,0,2016,"Primavera",9,7.41850454480522,1054,1030,1150,1060,970,8.44444444444444,2011,0,0,1,1,0,0,0,0,0,0,1,0,0,3,3,6,1,0,0,"EyN",0,"Regular",0,0,1,1,0
